iteration,pos_error_m,ori_error_rad,eff_particles,est_x,est_y,est_theta,gt_x,gt_y,gt_theta
1,3.0670839962555063,3.1065095258929403,3.3215301073149153,-1.3856436144525117,3.689736137299006,-3.106569459007493,-2.8594662662091457,0.9999682976415216,-5.993311455246558e-05
2,3.104490044747972,3.133450722669549,765.2668626544182,-2.3603229203314906,4.07177234557887,3.1333910993460847,-2.809620541919886,0.9999666737997648,-5.9623323464223513e-05
3,3.1106301405828223,3.139916215049905,835.5598328336699,-2.4790075102543456,4.096806192214142,-3.139976722901326,-2.7715721640005913,0.999964931367754,-6.050785142064418e-05
4,3.1114457895453254,3.140921939678166,792.5450015772255,-2.515529132241609,4.100858692234372,-3.14098406642078,-2.7715530879683588,0.9999642026760184,-6.21267426140038e-05
5,3.112103816060313,3.1410852219603025,813.5716588456103,-2.5215557593679065,4.102010850383894,3.1410224834664953,-2.7715458495350522,0.9999639266969905,-6.273849380711608e-05
6,3.1132052885079777,3.1390384837475103,836.8128486330512,-2.5394677699578763,4.104507388292099,3.1389745619426463,-2.7715319132035616,0.9999633957202932,-6.392180486414152e-05
7,3.1191364968538777,3.1187763101695594,828.9115963277225,-2.5397063780684026,4.11047319737682,3.118711706548021,-2.7715238659282937,0.9999630883547942,-6.460362153825618e-05
8,3.116979864058945,3.1137987995927863,838.323029663144,-2.6110277766864454,4.115599415373365,3.113729508819809,-2.702491862393174,0.9999617929957629,-6.929077297696611e-05
9,3.12290419678645,3.1131956093959174,837.2414705601688,-2.698149106388966,4.120534406298588,3.1131246383301217,-2.5775709920571894,0.999958891966237,-7.097106579586532e-05
10,3.195823992149683,3.122559575408097,877.9558467205653,-2.967200540941445,4.1235998825547275,3.122485431859492,-2.291835625152295,0.9999524601780194,-7.414354860527508e-05
11,3.2165316413194684,3.1153575911116818,877.7192565504231,-3.0213576754596945,4.131853322257461,3.115282258324135,-2.2883711244288665,0.9999519004982697,-7.533278754674454e-05
12,3.1641398039182165,2.997676431258749,392.54095095205025,-2.3616930997491123,4.163919810645731,-2.9977518188867274,-2.3946614789810754,0.9999517664470496,-7.538762797838663e-05
13,3.336323469412375,2.9986414115152153,20.730938153675698,-2.446294707141327,4.335913400649412,-2.9987165069300823,-2.4954301028790256,0.9999517693596386,-7.509541486708522e-05
14,3.1875499103601617,3.1292158892031425,40.29653074742645,-2.238435431038226,4.1707861977470095,3.1291404817683337,-2.564445164279421,0.999951593913331,-7.540743480902227e-05
15,3.1225617234974963,3.0658447725147124,168.92472517452856,-2.7683713386021225,4.115845886311099,-3.065921311928745,-2.5644318812511293,0.9999510846871683,-7.653941403268469e-05
16,3.1468402185681965,3.083572007454117,222.33310907850998,-2.3411958382387397,4.133190694249882,-3.083648748560262,-2.6334489326869766,0.9999509188761935,-7.674110614499837e-05
17,3.3070817462282456,3.111976132615126,21.506485293426067,-2.263014864913427,4.277705092635129,-3.1120530666936426,-2.7024649578105984,0.999950786393014,-7.693407851667769e-05
18,3.177088485102857,3.108093392837582,372.33738777485877,-2.421317210937033,4.164575870911999,3.1080152055897647,-2.702450174695327,0.999950221824631,-7.818724781719702e-05
19,3.472320228423684,3.0943457313418055,618.2682164419576,-2.3775527249543624,4.3893886070265005,3.0942325445056005,-2.7024498958684013,0.9323017413182699,-0.00011318683620505458
20,3.626760204376923,2.9807875883000237,34.36424912584194,-2.4572080559603995,4.4803587768276145,-2.980937777663832,-2.702451207386842,0.8618997986532637,-0.00015018936380831402
21,3.8662130826229966,3.084758047497622,98.64541346445401,-2.4146922567773537,4.6035055242954686,-3.0849678155351405,-2.7024588574079407,0.7480167117313948,-0.00020976803751820468
22,4.116093424842917,2.989341344735482,71.62118246239362,-2.431066979100188,4.762664073478262,2.989084331591674,-2.7024590188001834,0.6555274257853015,-0.0002570131438077694
23,4.105893869256832,3.0834126050956674,115.72892330785942,-2.405359070965641,4.681629912528306,3.0831189881305465,-2.7024589554596528,0.586499130216894,-0.00029361696512098716
24,4.188857035261054,3.1354796564541982,181.59212335580165,-2.425963797022882,4.697198654888357,3.1351505774851733,-2.7024586714546524,0.5174769122039256,-0.0003290789690249341
25,4.462784975968644,3.078881618610743,82.25280504012255,-2.4752767052216544,4.836426659727034,-3.0792837303843834,-2.702469889716744,0.3794284548081203,-0.00040211177364023334
26,4.414344446030946,3.1111767870295766,126.29458527889543,-2.4436419222292995,4.786178590814333,3.110773815484259,-2.702459880934105,0.3794280700273737,-0.0004029715453178581
27,4.406677583114541,3.11709842731218,783.9334358530546,-2.4564235525339786,4.78220193227124,3.1166897399620104,-2.6417127527579463,0.3794215341813496,-0.00040868735016949304
28,4.476985707212228,3.107483676539627,742.0682273500203,-2.9970329291376454,4.769032355883125,3.107029088270416,-2.1171418873843253,0.37936348713859985,-0.00045458826921128685
29,4.627270132960706,3.1071935446893475,780.7090088052546,-3.254929336896029,4.775666991017389,3.106710381881595,-1.8113842372770492,0.3793268735155355,-0.00048316280775262
30,4.778201498879915,3.0931261420945595,804.9220019789201,-3.441312548916311,4.785362019127954,3.0926209388669292,-1.5925771188347926,0.37929950556104153,-0.0005052032276300413
31,5.05548332483897,3.0743976704613067,747.2631437752918,-3.6984521711756484,4.830279979356347,3.0738619501352957,-1.3012996424731371,0.37926083742266675,-0.0005357203260111056
32,5.303868770364859,3.0643947524836608,815.666709018956,-3.946315567098118,4.863708632600234,3.063838110068002,-1.1142633336221024,0.3792349644742699,-0.0005566424156588619
33,5.5333155343213365,3.0622259007741777,904.9954729033191,-4.104922664709655,4.884666768773732,3.061643115538732,-0.8926997881663705,0.3792028643823301,-0.0005827852354456063
34,5.852768029852778,3.052902092365164,618.4294644164763,-4.342604212083353,4.926559835275989,3.052290653702612,-0.6580260959936436,0.3791674266862509,-0.0006114386625515768
35,5.843341396760985,3.027652476418751,105.61368413887688,-4.255141395711605,4.912004173581625,3.027029641688725,-0.5676079685945163,0.3791534256532625,-0.0006228347300257745
36,6.188324142833956,3.0927305597889294,5.882585722046397,-4.62226601647803,4.822390857215938,3.0920745510685586,-0.31498902893334396,0.37911271497122867,-0.0006560087203708004
37,6.736349633019213,3.034637409951451,187.48409195078415,-4.89048662653522,4.993688199205063,3.0339350437040666,0.01701494114782131,0.37905552244014323,-0.0007023662473845458
38,7.164154485386018,3.0847073754199954,369.5229705463767,-5.293430678861789,4.774046100493331,3.0839525930412655,0.3641845681570214,0.37899215234014727,-0.0007547823787299708
39,7.870853195172737,3.0669580656978117,661.7393332017875,-5.710095821236168,4.811118579965823,3.0661329144605114,0.7941970249506926,0.3789064245062821,-0.0008251512373004105
40,8.356139791869575,3.0498524964918623,696.4827080578934,-5.966674716278229,4.850424007038494,3.0489754090273635,1.0923636817278761,0.3788416118743953,-0.0008770874644989759
41,8.733154744094291,3.026805469544138,762.9320900326703,-6.160604737163873,4.891933336708905,3.0258882840524826,1.3159935694400173,0.378789250156333,-0.0009171854916557786
42,9.086566418146825,3.01355683400015,807.7303538368064,-6.343582745713627,4.9324235504343115,3.0126020416465873,1.5196002828814859,0.3787391158025715,-0.000954792353562778
43,9.511042500427038,3.0002010022441907,887.2649470309133,-6.6055401335905035,4.985003162365894,2.9992083938694445,1.7156250894201446,0.3786880649927731,-0.0009926083747460563
44,9.769417234219073,2.999230707094421,886.3641513924031,-6.745074581229205,5.015777265372142,2.998210155760232,1.8536798012441544,0.37865141349451076,-0.0010205513341891663
45,9.87518302218978,3.0048750923427168,590.0255982218818,-6.793586984368153,5.020354735786032,3.0038401529727925,1.9226996032382329,0.3786322274429999,-0.001034939369924232
46,9.471884333367266,1.77534876106514,25.208921454672396,-6.459544543287982,4.790953435939465,-2.0257397409131492,1.9225292304137493,0.3798955042285381,-0.25039097984800934
47,9.612287195817455,1.4875220510834106,85.18024175734365,-6.6206566378455145,4.785828715886598,-1.7685901923267862,1.9224892762974028,0.3800685062815227,-0.28106814124337565
48,9.748635075534855,1.4300307857756853,635.7880160047109,-6.761000813104317,4.660141694714088,-1.7111532503217655,1.9887788074833057,0.3616253893945431,-0.2811224645460801
49,9.753489284687126,1.3989942105361715,833.2419405398789,-6.793958733797445,4.603543468654983,-1.680117700469481,1.988788901321075,0.361622063875467,-0.28112348993330943
50,9.745308977353524,1.3920417880006128,902.7462124878381,-6.799847111571492,4.572406750974637,-1.6731663499163112,1.9887995342642761,0.3616185588748675,-0.2811245619156984
51,9.739500183256059,1.3603863004275625,898.9461607588278,-6.824742367579988,4.50639194027017,-1.641511844673265,1.9888091891244075,0.3616153748859395,-0.28112554424570263
52,9.744716626034025,1.325674193398628,897.7868168035354,-6.857813695187832,4.447759956324862,-1.606800665473504,1.9888184177431572,0.3616123353789242,-0.28112647207487595
53,9.753198049049022,1.2985875798970652,911.0080485917275,-6.88814993407277,4.401922607563165,-1.5797150340951465,1.9888281137368358,0.3616091391946491,-0.28112745419808133
54,9.766733856174957,1.4577303984167926,452.5531365546311,-6.896209520009396,4.413560939862108,-1.4597698096588334,1.9899985890679812,0.3608586735314586,-0.0020394112420408076
55,9.9471145718715,1.3763273767593804,207.46819617849212,-7.079556049140063,4.445665576585222,-1.285333198834823,1.9899347253103272,0.36039625889053767,0.09099417792455737
56,9.947746888980198,1.2991629583743383,80.3108947165705,-7.029798153802912,4.555631846333076,-1.1151522337139066,1.9898174483137678,0.3598956109068567,0.18401072466043167
57,9.958573251457686,1.3337964168458194,120.34218978356661,-7.051159863021468,4.535033998583391,-1.0567660740523719,1.9897005991054275,0.35938754455987487,0.27703034279344746
58,9.906214610203534,1.312083665004354,46.40995243523293,-6.976682301890404,4.570638223675244,-0.9410973952661258,1.9895907872814744,0.35886486868543,0.37098626973822807
59,9.934989163131979,1.3397755836598502,516.0808908281858,-6.997742083834643,4.5934385917654925,-0.9687905213842282,1.9896069210401555,0.3588704276989538,0.3709850622756221
60,9.993651588517103,1.3537040565508796,693.3002395965249,-6.925744404995812,4.514033188194163,-0.9825305199857911,2.1990857886654562,0.4384294280724683,0.37117353656508834
61,9.929391332335438,1.4049154801547217,530.7040758551844,-6.797594265953699,4.381666677642824,-1.0336166290605842,2.3378768811532376,0.49116810406195455,0.37129885109413746
62,9.908427338409135,1.4081670324835014,804.3005533837352,-6.722153717978086,4.287897214497297,-1.0367698289408949,2.4471067588895474,0.5326882152688056,0.3713972035426064
63,9.932580301780863,1.4040610293157518,751.8288628687844,-6.721154677890452,4.236460845855796,-1.032612134813378,2.5036490080561093,0.5541859502142494,0.3714488945023738
64,9.931789291335233,1.398578301886524,823.4579031108782,-6.726907950564886,4.219838225500607,-1.0271305774105253,2.503664710819612,0.5541913698443885,0.3714477244759989
65,9.933811873686347,1.408171573771403,848.0263413629378,-6.731453160688809,4.2138007877783545,-1.0246303566745198,2.5036643383706068,0.5541255125171184,0.383541217096883
66,10.506149333356197,1.609868763156702,126.67935199018338,-7.2676573402733275,4.414364249574969,-1.0523358962127038,2.5033368719564164,0.5534257730703641,0.5575328669439981
67,10.245499831173847,1.3317262165361532,53.710439509934595,-6.921371726180743,4.572271404142615,-0.7006775393074336,2.5030399524162554,0.5534741583353777,0.6310486772287195
68,10.079416993606587,1.5115987979619117,80.14140873482943,-6.670097720602882,4.732974676264712,-0.6749962068000335,2.5020665187115463,0.5537343029376586,0.8366025911618782
69,10.030539014465734,1.2843697233930913,70.54625913420224,-6.681342642370664,4.506426312213055,-0.447780303291157,2.569110574201505,0.6281756487400454,0.8365894201019344
70,9.895296925824404,1.369529732017022,393.2206952046974,-6.446134377872838,4.50794731559479,-0.5329742780675623,2.731678135017063,0.8086691794618157,0.8365554539494597
71,9.901702355988228,1.417800172765488,335.54331419631467,-6.401104561665959,4.573817933275044,-0.581254476225694,2.7776063928721544,0.8596592452778752,0.836545696539794
72,9.97216829272103,1.4700840988873705,394.8027526169758,-6.317974642644088,4.949101622737324,-0.5405141995760566,2.777162350520298,0.8597711721716843,0.9295698993113138
73,9.792010050718599,1.5884140350303895,36.06845821514244,-6.239108029653206,4.680645565833926,-0.47275153879356735,2.7768874983393337,0.8602679048437757,1.1156624962368222
74,9.792897285652153,1.5193048544310532,268.29868919546414,-6.25010562952557,4.656872946870424,-0.4036432498270304,2.7768932432838733,0.8602786048804419,1.1156616046040229
75,9.613508593810332,1.4828780145787586,658.5809888109129,-6.066329300864762,4.584831764037285,-0.3674254149166694,2.8975794268813657,1.1109452080452917,1.1154525996620892
76,9.46898052354955,1.4758308960090665,560.8693209728486,-5.904820451311018,4.557662386908499,-0.3605187255723414,2.9780658538030735,1.278039993129414,1.115312170436725
77,9.355877042912006,1.468532206293641,750.3183015128578,-5.788560390977715,4.521252094832024,-0.2537651853825331,3.015561104146937,1.3558327006328925,1.2147670209111079
78,9.111578883166347,1.6017084505468462,236.9732023275584,-5.580011758120769,4.377809843851771,-0.0715653693863033,3.01634631071512,1.3572970237295,1.530143081160543
79,9.08971111429791,1.6393887350601721,274.94965814196814,-5.571525802915475,4.335319053597354,-0.05902294322294825,3.0165374992932077,1.3573974866907612,1.5803657918372238
80,9.023860492781425,1.7036466319397368,249.90543232627934,-5.576489015849223,4.111055047488064,-0.03211192518510913,3.0169663303171785,1.3574059400988254,1.6715347067546276
81,8.968501715902406,1.545607799850167,104.27623180214053,-5.512203778602178,4.334839456848528,0.1260572905770175,3.002712221540216,1.5187733108456631,1.6716650904271844
82,9.048136987788851,1.5012143300294756,479.39173925304976,-5.574444434385375,4.455442408406733,0.17048632626239524,2.998826565592929,1.5627261570741413,1.6717006562918708
83,8.895772776217282,1.505282526394759,790.7292439246648,-5.482525326173258,4.488281345845242,0.1665701222717544,2.9820432344111207,1.7522527697417303,1.6718526486665133
84,8.750507046332734,1.4995734431111816,816.2903248121855,-5.373038727925715,4.523029148304804,0.1723821441051586,2.970286495109058,1.8847915186378759,1.67195558721634
