iteration,pos_error_m,ori_error_rad,eff_particles,est_x,est_y,est_theta,gt_x,gt_y,gt_theta
1,0.29138735052620995,0.09509333218908389,2.4143934429991263,2.7100003490313997,2.0358079089159586,0.09503579491262973,3.0006268287892706,2.0568516089288424,-5.753727645415606e-05
2,0.3416917429728425,0.01606554285370401,133.32624712392155,2.6708062477967656,2.217948423714243,-0.015981639324425333,3.000599914306941,2.1285650653884662,8.390352927867667e-05
3,0.29478737347463296,0.058312351797968794,67.57216837756008,2.7135128538226807,2.0659926690439985,-0.058217419058864246,3.000597645694137,2.132939796213097,9.4932739104552e-05
4,0.2550733817395431,0.03441693576894543,98.89402364758058,2.745539155153636,2.14813616137094,-0.034281848296163334,3.0005892903275457,2.151579796052073,0.00013508747278210043
5,0.29583059258662464,0.021340721335209444,111.15897845049258,2.7444158032137715,2.3518662920499818,-0.021101338788545053,3.000569439942269,2.203876245422114,0.00023938254666439404
6,0.20908982707232163,0.02557137903102308,79.05506347445282,2.7926047799524953,2.231464144535303,-0.025316141460961995,3.0005664204551272,2.2097728590826735,0.00025523757006108564
7,0.2065840545128342,0.011740014050130377,623.6760569762396,2.8157408454369834,2.117488329744993,-0.011477708561308189,3.000566190086227,2.209773559084525,0.00026230548882218797
8,0.1711749671183349,0.047406235564678996,36.5180059941653,2.8533868353428264,2.4931627868840227,-0.04699726677803722,3.0005391627975366,2.4057153061162797,0.0004089687866417728
9,0.4128309405273524,0.0601505848985847,76.1531587425128,2.795948204683419,2.862266081108519,0.0606215724440463,3.000526677100613,2.5036896818849423,0.0004709875454616012
10,0.14006809559590225,0.0541867623790183,23.764817961974128,2.861034217965357,2.609192543272356,-0.05365391318051361,3.000512455947106,2.5963514945079673,0.0005328491985046913
11,0.18528412679528736,0.025272476784658642,67.25937975317893,2.848405181691004,2.839128714832773,0.02565891073840514,3.0004752335834413,2.733275481723323,0.00038643395374650093
12,0.13746769812241894,0.08380064359884516,24.802946891976667,2.864372780275746,2.9907461628020147,-0.08380638081078948,3.000389100721413,3.010669229822384,-5.737211944319255e-06
13,0.1452322264011653,0.015309597990383653,78.67572248843973,2.8573001799007978,3.0689414928213763,-0.015435999611751943,3.0003737756637965,3.093888351960061,-0.0001264016213682902
14,0.15523756672315642,0.0064009509596921225,369.7635183459328,2.849688897919039,3.1902428461861456,0.006311540992266334,3.0003700662542823,3.1529080416299067,-8.940996742578951e-05
15,0.21335958906853847,0.2267234787378318,39.290281103953724,2.8976966770068153,3.483366457347202,-0.22677594539097717,3.0003497982502205,3.2963246145780443,-5.2466653145364476e-05
16,0.2396531380252508,0.242996374950825,27.727040466302498,2.7630251812572566,3.516506450473634,0.24267736448728294,3.000299938112209,3.4828268375783944,-0.0003190104635420536
17,0.18788348162109567,0.020274908688224787,46.13759399696268,2.8141679924300407,3.6003721701747375,-0.020797419602169454,3.000261226114662,3.626247081630923,-0.000522510913944663
18,0.16780496816701687,0.042753776224828066,48.792655800725036,2.8327291557963465,3.7331484624781597,-0.04344194230963918,3.0002384330047973,3.743105841181209,-0.0006881660848111125
19,0.1604726823530122,0.02826304746332693,60.59526400339883,2.8552702953964344,3.9299669556551207,0.02764743742600693,3.000232311423808,3.8611374874685205,-0.0006156100373199964
20,0.18829516903133794,0.013906149850973843,357.6777567612996,2.8834911108870056,3.7134086966119306,0.013289479266261983,3.000244772225959,3.8611370054917424,-0.0006166705847118606
21,0.31104251180870923,0.01235719172630621,864.3632293942719,2.893602592250375,3.509934504600186,0.011701630944471828,3.0002427712768727,3.8021250526496866,-0.0006555607818343823
22,0.5278703717450604,0.19938783201648436,64.57068906873401,2.934877067728878,3.1602766654105956,0.19866916242319155,3.000231153782845,3.6840857649901264,-0.0007186695932928137
23,0.18579840707054607,0.019084773647353576,70.77310343293347,2.950732242215409,3.505005086940201,0.018365086452214744,3.000243093450883,3.6840853027092555,-0.0007196871951388335
24,0.19384019075446235,0.024864160836582373,848.8595126847015,2.9706113946563546,3.492524493694437,0.024143639415038925,3.000252972548219,3.6840849186569193,-0.0007205214215434496
25,0.202439877302889,0.024856161663298588,884.0265520290851,2.978047043295609,3.491100299726438,0.024129137823797015,3.0392164529783,3.684077519214853,-0.0007270238395015735
26,0.18786253729363483,0.016230406052824636,881.7326146662732,3.043403052931364,3.4990247373124066,0.015496840013405537,3.075813143704904,3.6840704585124744,-0.0007335660394191014
27,0.17737082321624661,0.007038770617894503,852.8029021178427,3.264199365135654,3.512705139728899,0.0062689354130120245,3.3101307550605763,3.684025647397928,-0.0007698352048824784
28,0.16716410497410744,0.00135039565010144,881.2464166127909,3.327472523039196,3.5190351799233137,-0.0021278518533745863,3.354396827324577,3.6840167541385656,-0.0007774562032731462
29,0.1558023307436487,0.00989217614990166,895.9658740102434,3.347633470971384,3.528361366167529,-0.010671012454691292,3.3544130914833015,3.6840161219922956,-0.0007788363047896333
30,0.14811359534257212,0.015071253719465327,904.9889196757396,3.3611537975458443,3.5360548279747546,-0.015851257801691786,3.3544269157477626,3.6840155869163667,-0.0007800040822264595
31,0.13599024334406287,0.017578081620209195,896.1724768615809,3.365047939185577,3.54843950423936,-0.01835897789035584,3.3544374299504294,3.684015178231962,-0.000780896270146645
32,0.12630571310040348,0.02390074165957997,913.2161388359438,3.3726148079587914,3.559022498151429,-0.024682473348032457,3.3544472841309774,3.684014794873136,-0.0007817316884524871
33,0.11573563805576129,0.02665395271603801,915.7132741245805,3.372829659133596,3.569746492492428,-0.027436467242807214,3.3544564620486703,3.684014438763693,-0.0007825145267692023
34,0.10657867880346746,0.02951493109826924,928.4106314603875,3.3757441651967923,3.5795814030043847,-0.030298130121872605,3.354464555388889,3.6840141228862113,-0.0007831990236033653
35,0.10554464851244277,0.028116448288553732,941.6308846419665,3.38663023086968,3.5834863316174683,-0.028900579925897583,3.3544755721616784,3.6840136948226525,-0.0007841316373438508
36,0.10061371499480379,0.02865542661209733,932.3828069253765,3.3914953737184135,3.590454590475861,-0.029440240149692924,3.354483593867197,3.684013383741383,-0.0007848135375955918
37,0.10179299782070733,0.0326147868518797,918.1413316622783,3.403583861228994,3.5948367986359564,-0.033400799270086004,3.3544977223243024,3.684012834501854,-0.0007860124182063038
38,0.10031381831729749,0.03408450407317908,930.7417416788822,3.408187428624543,3.59927058869811,-0.03487124256128835,3.35450624021882,3.684012503691489,-0.0007867384881092728
39,0.10403771321945743,0.033154787869881894,932.8710854996261,3.41943946352575,3.6027167546391854,-0.03394244643000825,3.354517082987466,3.684012082162828,-0.0007876585601263594
40,0.10925617974841263,0.033788684304168,902.0408654943327,3.4307779051702054,3.6057611396642173,-0.0345774151172302,3.354529757776902,3.684011589070636,-0.000788730813062197
